SOURCE_ID,ra,dec,parallax,parallax_error,phot_g_mean_mag,bp_rp,ruwe
281931312694400000,84.31973622797729,59.55925871117161,17.487585328389404,0.058520526,16.360847,3.1417933,1.0513934
285353027238898304,74.21623407495908,61.069397286354885,20.321165920608113,0.022603594,12.913063,2.3203325,1.3158975
286965151803617664,87.55810820171074,63.54727181708805,16.688599264858123,0.031059546,15.104795,2.791133,1.0923399
333054411497081984,33.38073268206419,40.53753883094787,20.07240237020669,0.11469209,17.20056,3.8104534,1.1468197
335471859608962304,38.764506440449345,41.07803842643808,21.796971995770146,0.03483023,14.500976,3.0015898,1.2041997
339902410432713472,36.07508782209419,43.829469600801445,20.275420587511228,0.027812423,14.698351,2.6400518,1.1407961
350529499553216512,24.161814739332964,45.003707343783596,22.05178692067562,0.028743908,14.542403,3.0734825,1.1713668
356922880493142016,28.012371952646653,47.002389874237195,60.56433165675938,0.031045204,12.495588,-0.11815357,1.0681354
378026395579692672,13.47383930194673,45.94487927502636,34.5643533205104,0.024694812,10.417263,1.8582783,1.1836706
378088827223480960,13.289257667880094,46.82542165960088,17.697845107813485,0.04504652,15.870388,3.0827723,0.9990545
386130277311206272,3.4419730168878284,45.910701678571435,31.004666587871597,0.016245179,13.612372,2.5758476,1.2687266
390812925536899584,8.293396736116748,47.70362646074507,18.171703116013912,0.03233083,14.807593,-0.1797123,1.0015484
393781228970821888,1.6949473402877473,50.35873220165276,17.42332250034239,0.335969,19.538483,3.5478992,1.1179675
393848569763320704,1.1038645824518054,49.89517902679398,18.146998666709504,2.9682426,20.985214,1.5757656,1.3927978
394381940281075072,4.90421629873968,49.3508220604008,17.11756868763876,0.05541263,16.066605,3.2725277,1.2762552
395298761183712000,2.5340723298066212,50.6142704924268,17.128895805491105,0.0142037645,12.756812,1.9499884,1.0789022
396682049885322240,20.823374287163052,43.3688582160246,24.513603477999528,0.022909839,14.564405,2.805419,1.1525061
397167552988065664,21.906912255973182,44.45705715361747,19.53830777231125,0.022154946,12.930713,2.2776814,1.3648442
398125914810267904,20.43811494787913,46.20611405506442,17.341286663631617,0.025004031,9.974654,1.176199,1.1320655
398802698576919552,23.40317503287608,46.586815042570386,17.65111269629653,0.041836493,15.421065,2.9351225,1.062269
407475165259507968,23.490081349273108,53.33954602258505,21.988042766365535,0.028918458,14.398864,2.840498,1.3719869
410884128047643264,19.86078984374463,54.843715535331654,24.293065578218233,0.024703447,14.116847,3.086505,1.1939679
411868710654279296,16.4162053578548,55.55684353464745,23.187994498395327,0.116255604,17.4609,4.197796,1.0556041
412665890941024896,22.775095229047963,56.282624654757576,20.71426636864419,0.089080416,17.543428,0.57219887,1.011416
413893182142131584,19.417546513782842,58.49726837304009,23.076868551882296,0.01563093,12.038133,2.3791676,1.2014271
418629470213009792,8.329511809457022,55.679672642397946,21.870046982641345,0.03636588,15.952998,0.27640915,0.9410075
423879913115449088,12.881443391566195,56.99158120938763,18.2667445421275,0.054034714,16.538168,3.2023764,1.0273463
424181694697874304,14.701516279393763,58.035112767629634,18.067732969073784,0.011354788,12.4551735,1.9341288,0.9648775
431635455820288128,0.6036631273956624,63.96274307670881,38.0576410247483,0.058539525,17.00943,1.1513519,1.0080678
433977037622923520,43.341938122830314,45.83399081350182,18.188513041101398,0.0587215,14.178006,2.6086245,1.0797195
434767655207042944,49.00095609738656,46.39035470181531,17.12151633712426,0.030753143,14.814336,2.9206333,1.1355468
439357119819592960,46.10243357982957,50.0330114598983,27.76701947881309,0.021990903,7.838883,0.83439016,0.93851596
447475604439971328,46.4918314047375,54.82069873646352,17.362233162563744,0.033892177,15.504644,3.0145416,1.0395229
450378830532275968,38.315450151847216,48.422866078676,17.538783800910988,0.12707098,16.540195,3.4376316,1.138915
455808803070744832,34.2709104784996,54.58289802939093,49.03161764193878,0.020035299,13.48304,2.9097204,1.2560575
455921606088886272,35.11476823408716,54.878641674631396,19.664845886930674,2.3195,20.770323,1.322586,1.0074826
456614676375614336,34.047381799735696,55.19748940747308,32.227249730757286,0.016737986,13.714408,2.8822641,1.2516639
458764255967868544,34.11933995097091,58.39077758078721,25.614151071539016,0.015937641,12.597191,2.3600168,1.172825
463677595471054080,47.59090006715113,61.79431460455504,18.78795949875068,0.014770914,13.288313,2.3931446,1.2537768
475959209071798400,68.87861805976294,63.789910654805794,21.729535748609006,0.01650941,13.832628,2.5898867,1.0994095
480130339571162624,81.92190370184082,65.42069814261862,17.338841997440394,0.24310239,18.616287,4.0923386,1.1783179
480929070347384960,82.8101628354028,66.23838100746727,19.688193327443315,0.017960625,11.262369,1.780469,1.1469607
483356688942942720,69.88210879287185,66.59614458044193,23.73307459841615,0.011889324,13.3863735,2.3932333,1.0737631
484652463395883648,80.9459479838542,68.69451584761522,27.312388012478838,0.0145050725,13.716616,2.6102943,1.2071649
487486111021398912,57.966687070582815,64.40602742968098,17.99206034890559,0.01449596,8.84987,0.93483925,0.9079662
491194626303326208,48.836922447224765,64.59645232126232,17.695140182572267,0.015488406,14.054857,2.2368765,1.0490104
492053585402171264,48.40781852275278,65.3554168425425,44.34520923264207,0.020210665,11.109747,2.124136,1.3367494
495551887802902272,70.23032016298188,67.60490412370385,19.802477357065143,0.062600054,17.219551,0.4403324,0.9924812
501185269987103488,64.49632436075308,71.93481449094212,18.769009635510596,0.32399783,19.58102,3.2961273,1.0607625
501384041072886912,60.865970791052675,72.23538733100378,17.600900023749222,0.013278856,10.10617,1.1608143,1.0592403
502609064526679552,79.60017816418633,74.28402632672606,16.86577842108509,0.14289081,18.681156,1.0856934,1.0095568
504780329417576448,27.548939950955315,55.9405955745843,20.590968559126864,0.107555404,17.306252,4.123144,1.1748812
505743845203083136,27.22355212551991,57.230187466457075,18.76908790880881,0.060366984,16.60595,3.6354895,1.0191458
511303834982876160,27.517099128768507,61.3210668990893,21.74571670702405,0.08213344,17.10118,3.9607916,0.9429065
512093593572007552,25.501457889619928,63.42638867082151,21.298837761774507,0.017745681,14.355663,2.7447233,1.1909037
513177059201155200,23.55695919814742,64.99436733891606,42.26250196530243,0.026334178,14.624572,3.4397383,1.2404829
513461729629337216,36.7018595312718,61.2979397954934,20.356888877298633,0.017218392,14.029887,2.4338322,1.1380832
516178829014756992,38.34757254161761,65.76293858612469,17.303985233798286,0.272195,19.30562,3.5455399,1.0743537
517324107818782080,36.191236404346384,67.49241179293391,34.87688355701177,0.03679871,15.564098,3.7060976,1.0005262
520304780761434112,33.034180107133274,67.8194085046007,19.553550273515835,0.029033499,15.330591,3.025405,1.0735695
523333935302552064,15.792005292614112,63.19883109762541,18.114567033606118,0.015261048,14.006385,2.6889267,1.0220717
526331891194068736,13.107742152663686,67.40229418484772,38.076316174951465,0.043750953,15.677119,3.8558302,1.1491677
533748028399211776,24.363062891633117,69.85471659189749,17.892950382155583,0.023088526,14.962925,2.8234625,1.0928136
533854990264491776,27.225063666815075,70.67704825530964,19.51404926623506,0.04433295,16.308014,3.3954592,1.0903357
