sector,tmag_bin,rrmscdpp00p5,rrmscdpp01p0,rrmscdpp01p5,rrmscdpp02p0,rrmscdpp02p5,rrmscdpp03p0,rrmscdpp03p5,rrmscdpp04p5,rrmscdpp05p0,rrmscdpp06p0,rrmscdpp07p5,rrmscdpp09p0,rrmscdpp10p5,rrmscdpp12p5,rrmscdpp15p0,n_stars
1,15.0,9897.528,7288.319,6048.608,5356.991,4743.189,4464.557,4249.245,3899.807,3781.607,3607.944,3353.279,3151.418,2957.165,2826.799,2688.952,89
1,15.5,15658.441,11431.682,9698.316,8515.979,7705.988,7181.895,6640.302,6068.884,5830.72,5466.762,5051.145,4757.286,4589.79,4359.21,4105.016,84
1,16.0,22710.418,16020.165,13759.021,12172.537,11200.634,10276.89,9711.942,8927.532,8557.852,7882.191,7327.279,6998.218,6612.315,6204.526,6036.803,61
1,16.5,31989.445,23308.342,19394.727,16728.881,14819.896,13626.337,12748.254,11538.295,11081.775,10412.78,9726.371,9266.91,8938.841,8548.295,8144.363,11
2,3.0,34.622,42.183,46.939,51.223,53.389,54.922,55.853,55.257,55.434,56.208,58.088,60.283,62.707,66.15,70.228,14
2,3.5,30.519,30.551,32.458,35.146,36.91,38.588,40.71,43.48,44.274,45.828,48.537,50.049,49.758,50.627,53.244,18
2,4.0,37.281,35.659,40.804,44.723,46.851,48.619,50.85,53.79,54.815,56.532,59.124,61.386,64.394,67.2,68.606,32
2,4.5,42.149,41.051,42.352,44.15,46.362,47.832,50.138,53.658,53.808,55.552,59.297,61.64,63.487,66.202,68.938,60
2,5.0,49.924,49.9,55.765,62.402,64.111,66.417,69.725,74.23,75.436,78.066,82.526,85.352,87.484,89.083,91.281,123
2,5.5,54.553,54.378,60.752,66.908,68.979,71.768,74.547,78.864,79.586,81.749,85.057,87.706,90.46,93.744,97.841,185
2,6.0,64.335,59.99,63.475,65.216,69.151,72.941,77.008,81.378,80.994,84.22,86.93,88.982,88.025,89.841,94.458,139
2,6.5,77.444,69.783,68.518,69.186,67.761,68.168,68.158,68.078,67.468,66.476,65.851,66.188,66.35,67.438,66.136,150
2,7.0,87.766,72.216,68.248,65.213,64.589,63.838,63.063,61.973,60.978,60.718,60.314,60.278,61.042,58.672,55.638,206
2,7.5,103.042,80.538,72.002,67.342,64.485,62.952,61.901,59.593,57.898,56.372,54.822,53.74,53.624,52.769,50.93,358
2,8.0,131.418,106.233,97.835,91.933,89.293,88.2,87.325,86.331,85.97,85.723,85.912,85.759,86.291,87.843,88.353,877
2,8.5,155.454,124.138,114.832,110.515,108.791,107.596,107.711,108.433,108.99,108.391,109.622,108.66,107.846,108.826,110.303,1597
2,9.0,189.372,141.565,121.446,109.786,102.352,96.965,93.232,87.065,84.806,81.937,79.348,76.83,74.747,73.464,72.374,1656
2,9.5,235.738,173.272,145.588,128.793,118.354,110.512,104.294,95.612,92.458,87.386,82.006,78.144,76.134,73.461,71.193,1860
2,10.0,296.609,216.954,182.254,161.584,147.636,137.318,129.165,117.42,113.118,106.641,99.174,94.4,90.869,87.412,84.659,2032
2,10.5,382.778,281.27,235.729,208.218,189.812,176.078,165.69,150.55,145.274,136.815,127.654,121.324,116.748,112.08,108.139,2034
2,11.0,500.249,367.381,309.37,273.326,250.31,232.801,218.796,199.116,191.845,179.76,167.283,157.857,151.359,145.176,140.097,1431
2,11.5,668.452,489.653,411.338,363.27,331.828,308.102,290.608,265.073,255.058,239.532,221.685,210.962,202.585,194.419,188.017,846
2,12.0,949.647,689.954,576.528,510.135,464.792,432.242,404.658,367.218,353.22,331.194,308.636,290.152,276.052,264.766,253.763,484
2,12.5,1355.825,990.617,832.478,734.322,670.82,621.497,582.993,526.076,505.029,468.503,434.54,407.731,387.243,367.546,349.194,423
2,13.0,1925.353,1416.952,1193.356,1057.709,964.89,895.202,842.016,761.287,729.159,682.295,626.161,578.673,554.491,527.303,500.593,443
2,13.5,2744.306,2029.018,1734.18,1521.776,1388.666,1281.69,1227.238,1111.22,1065.206,1006.661,929.932,867.323,826.401,776.058,732.368,346
2,14.0,4020.943,2979.594,2507.677,2221.379,2038.256,1882.021,1780.274,1611.291,1554.893,1465.736,1352.721,1255.056,1179.932,1105.59,1044.352,304
2,14.5,5912.457,4373.3,3631.38,3185.453,2896.053,2660.998,2474.504,2244.774,2165.354,2026.889,1867.97,1755.054,1669.074,1549.826,1468.594,145
2,15.0,9825.879,7154.294,6000.024,5259.455,4758.54,4407.201,4076.007,3663.054,3509.958,3247.778,3011.686,2792.148,2635.317,2484.944,2354.478,64
2,15.5,13904.136,10195.579,8559.343,7588.206,6805.344,6247.584,5801.936,5139.912,4898.306,4550.282,4125.77,3843.077,3644.333,3469.129,3270.305,78
2,16.0,22434.467,16175.943,13445.207,11838.721,10769.48,10027.689,9328.507,8481.386,8128.154,7642.76,6791.063,6265.785,5809.694,5343.079,5008.779,51
2,16.5,30785.039,22809.395,18634.898,16194.628,14488.655,13241.58,12569.122,11352.546,10883.514,10164.326,9426.251,8934.531,8378.821,7946.537,7548.221,17
3,3.0,33.441,37.303,41.162,45.467,47.52,49.1,50.883,53.745,55.013,57.314,60.64,63.724,66.794,70.838,75.851,12
3,3.5,32.445,35.276,37.996,43.89,45.099,45.965,47.803,50.815,52.506,54.509,57.254,59.657,59.075,57.561,56.115,19
3,4.0,38.238,37.223,41.131,46.334,47.941,49.217,51.347,54.332,54.926,57.656,62.437,65.12,67.223,69.818,73.451,23
3,4.5,41.124,37.106,40.254,42.886,45.146,46.934,48.116,50.727,51.622,53.504,56.94,59.383,61.32,64.732,67.941,56
3,5.0,49.402,50.475,56.973,62.368,66.129,68.583,70.502,73.507,73.622,74.268,76.155,78.716,80.936,82.299,85.474,94
3,5.5,54.124,51.839,57.773,63.343,66.191,66.975,70.816,75.931,76.65,78.431,81.301,84.236,82.493,85.652,89.838,179
3,6.0,63.947,62.887,69.967,76.683,78.36,76.842,78.081,78.302,79.14,81.831,87.463,90.458,93.363,96.905,98.032,143
3,6.5,76.727,69.943,65.991,67.667,63.953,63.552,66.509,65.157,65.588,63.404,63.012,63.045,63.884,66.205,68.956,139
3,7.0,88.11,71.873,66.797,63.912,62.713,62.028,62.023,60.102,60.611,61.852,61.243,59.393,56.256,55.055,55.063,236
3,7.5,101.11,79.509,71.142,64.256,60.954,58.519,57.311,55.108,54.945,54.498,53.672,52.379,50.577,48.169,47.154,375
3,8.0,133.258,109.184,102.477,98.16,95.981,94.204,92.893,91.91,91.846,92.032,92.531,93.708,93.241,95.738,95.836,874
3,8.5,153.796,123.992,114.007,110.225,108.238,106.634,104.852,102.204,102.896,104.12,104.95,104.006,103.274,104.566,106.568,1546
3,9.0,187.831,141.202,121.317,109.339,101.922,96.223,91.656,85.999,83.602,80.152,77.638,74.776,72.966,71.236,69.626,1568
3,9.5,232.876,171.886,144.787,128.302,117.896,109.75,103.627,94.535,91.285,86.04,80.536,76.582,73.984,71.592,69.438,1839
3,10.0,293.353,214.926,180.285,159.819,145.48,135.319,127.16,115.241,110.854,103.445,96.008,90.829,87.173,83.416,80.125,2039
3,10.5,381.599,279.77,233.78,206.321,187.739,174.142,163.132,147.692,141.795,132.637,122.647,115.876,110.396,105.244,101.269,1983
3,11.0,496.124,363.856,305.703,270.743,246.187,227.912,214.12,194.058,186.201,174.776,161.456,151.795,144.856,138.568,132.492,1421
3,11.5,661.437,483.885,406.163,360.672,328.71,303.271,284.909,257.587,247.124,231.089,213.561,200.892,190.285,180.847,171.976,821
3,12.0,931.206,675.202,565.47,497.631,451.658,419.48,395.196,355.046,339.733,317.28,291.76,274.929,260.804,246.686,234.55,528
3,12.5,1381.349,1001.806,843.216,739.376,668.241,620.171,580.947,516.24,494.257,458.844,419.86,392.499,371.66,352.26,332.466,440
3,13.0,1911.372,1433.425,1200.54,1064.313,964.853,890.803,830.867,742.698,712.647,659.53,611.616,568.677,536.519,508.595,482.314,425
3,13.5,2773.328,2041.54,1719.371,1525.986,1385.746,1289.438,1203.796,1085.76,1035.13,960.34,889.386,831.514,789.744,737.519,691.758,404
3,14.0,3934.724,2871.295,2404.741,2118.545,1929.649,1803.635,1695.353,1513.784,1439.813,1338.394,1237.196,1142.57,1076.542,1013.064,946.404,293
3,14.5,5818.306,4254.335,3565.988,3185.794,2890.886,2681.89,2532.248,2284.324,2183.462,2022.31,1854.448,1712.116,1617.548,1529.895,1423.302,176
3,15.0,9300.808,6773.148,5648.394,4991.382,4519.488,4192.364,3959.301,3554.638,3385.279,3125.788,2846.192,2643.242,2491.486,2345.909,2202.978,108
3,15.5,14563.547,10484.368,8807.886,7600.148,6885.435,6294.619,5879.337,5248.635,5056.364,4678.661,4331.939,3993.235,3746.539,3537.456,3337.875,111
3,16.0,20588.285,14843.455,12307.483,10835.662,9838.009,9028.545,8378.916,7405.935,7113.929,6624.828,6056.546,5645.779,5290.789,4995.232,4726.217,71
3,16.5,34002.068,24460.707,20230.478,17849.444,16210.88,14969.9,13914.443,12613.267,12043.016,11125.194,10111.337,9476.994,8930.236,8461.756,8008.713,26
3,17.0,75448.285,55227.691,45712.928,40566.736,36521.857,33578.07,31295.776,27943.388,26673.484,24930.016,23289.03,22197.268,21251.125,20031.946,18912.338,24
3,17.5,104713.621,75796.518,62311.11,54435.793,49178.443,45119.518,41945.714,37266.264,35473.824,32601.623,29448.19,27150.039,25399.957,23631.571,22018.497,10
4,3.5,42.912,43.358,43.357,48.59,50.518,51.936,54.138,57.362,58.746,61.514,65.928,68.773,72.202,73.564,77.182,22
4,4.0,42.075,38.037,37.856,38.407,41.186,43.635,46.487,49.452,50.075,51.845,55.014,57.344,61.961,65.353,69.585,25
4,4.5,47.329,51.159,56.296,57.889,58.043,59.46,62.302,65.764,67.634,69.74,73.381,76.418,79.035,77.347,80.644,48
4,5.0,60.579,61.006,67.754,71.084,75.191,77.341,81.573,86.502,87.09,89.446,93.637,96.631,100.964,102.268,103.942,110
4,5.5,67.224,65.342,65.044,68.292,72.896,76.749,80.755,86.028,88.338,92.394,95.83,98.21,101.556,105.279,109.868,155
4,6.0,76.982,74.409,81.229,89.732,92.747,94.839,96.762,98.625,100.844,105.484,108.159,109.823,109.901,110.119,111.632,135
4,6.5,89.061,82.099,81.147,79.025,79.714,80.47,82.778,83.294,83.83,83.827,84.714,84.681,82.549,80.573,79.726,172
4,7.0,101.466,84.131,78.542,75.447,74.372,74.955,74.32,73.273,73.166,72.824,73.703,74.598,74.817,75.394,75.715,253
4,7.5,113.346,90.088,82.387,78.474,75.969,75.038,74.214,72.642,72.848,72.094,72.222,72.298,71.813,71.441,73.207,400
