pl_name,hostname,discoverymethod,disc_facility,tran_flag,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_rade_reflink,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassprov,pl_bmasse_reflink,st_teff,st_rad,st_mass,st_lum,sy_dist
Kepler-206 c,Kepler-206,Transit,Kepler,1,95.51,2.593,-2.539,0,1.77,0.34,-0.34,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,3.78,,,0,M-R relationship,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,5764.0,1.185,0.957,0.08357,594.447
Kepler-173 c,Kepler-173,Transit,Kepler,1,258.418,12.494,-11.857,0,2.43,1.21,-1.21,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,6.48,,,0,M-R relationship,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,6031.0,0.949,1.067,0.07365,833.165
Kepler-250 b,Kepler-250,Transit,Kepler,1,148.103,8.366,-7.868,0,1.13,0.68,-0.68,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,1.51,,,0,M-R relationship,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,5160.0,0.805,0.806,-0.45709,760.585
Kepler-325 c,Kepler-325,Transit,Kepler,1,53.044,2.553,-2.418,0,2.54,1.26,-1.26,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,6.99,,,0,M-R relationship,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,5752.0,1.003,0.914,-0.25468,823.242
Kepler-157 c,Kepler-157,Transit,Kepler,1,101.754,4.027,-3.837,0,2.24,0.43,-0.43,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,5.65,,,0,M-R relationship,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,5774.0,1.044,0.95,0.09117,773.713
Kepler-392 c,Kepler-392,Transit,Kepler,1,185.098,5.018,-4.89,0,1.1,0.23,-0.23,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,1.37,,,0,M-R relationship,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,5938.0,1.129,0.874,0.19453,681.428
Kepler-365 c,Kepler-365,Transit,Kepler,1,66.87,66.3,-23.02,0,1.64,0.77,-0.77,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,3.33,,,0,M-R relationship,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,6012.0,1.048,1.02,0.112,1038.99
Kepler-243 b,Kepler-243,Transit,Kepler,1,115.505,4.839,-4.632,0,2.45,1.16,-1.16,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,6.57,,,0,M-R relationship,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,5228.0,0.842,0.904,-0.37337,693.86
Kepler-402 e,Kepler-402,Transit,Kepler,1,157.481,4.535,-4.409,0,1.46,0.29,-0.29,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,2.73,,,0,M-R relationship,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,6090.0,1.264,1.072,0.2035,625.339
Kepler-402 d,Kepler-402,Transit,Kepler,1,214.277,6.171,-5.999,0,1.38,0.27,-0.27,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,2.48,,,0,M-R relationship,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,6090.0,1.264,1.072,0.2035,625.339
