kepid,kepoi_name,koi_disposition,koi_pdisposition,koi_period,koi_prad,koi_sma,koi_insol,koi_depth,koi_duration,koi_incl,koi_steff,koi_srad,koi_smass,koi_kepmag,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_num_transits,koi_tce_delivname,dataspan,dutycycle,rrmscdpp01p5,rrmscdpp02p0,rrmscdpp02p5,rrmscdpp03p0,rrmscdpp03p5,rrmscdpp04p5,rrmscdpp05p0,rrmscdpp06p0,rrmscdpp07p5,rrmscdpp09p0,rrmscdpp10p5,rrmscdpp12p0,rrmscdpp12p5,rrmscdpp15p0
2449245,K06274.01,CANDIDATE,CANDIDATE,18.1772927,1.5,0.1395,69.62,213.1,4.703,89.93,6158.0,1.026,1.092,15.324,3.6114843,7.4007688,7.9,71.0,q1_q17_dr25_tce,1459.789,0.8752,379.106,335.129,316.199,292.63,276.662,250.891,240.876,224.804,208.335,197.734,187.142,179.347,177.333,168.778
2571075,K06281.01,FALSE POSITIVE,FALSE POSITIVE,1.89134201,0.92,0.0289,729.42,128.9,4.674,85.37,5658.0,0.815,0.895,15.799,4.917116,8.342985,8.9,705.0,q1_q17_dr24_tce,1459.789,0.8752,481.893,423.443,394.32,363.075,343.656,307.976,292.916,270.514,244.894,225.7,210.942,199.384,196.012,177.47
2576962,K04333.01,CANDIDATE,CANDIDATE,309.25581,2.18,0.9158,1.61,421.4,10.72,89.95,6060.0,1.057,1.067,14.205,,,9.9,,,1459.789,0.8751,160.758,141.074,131.151,119.808,112.448,100.815,96.386,89.247,80.821,74.805,70.031,66.302,65.25,60.616
2715135,K01024.01,CONFIRMED,CANDIDATE,5.747711909,1.86,0.054,40.07,820.1,1.8923,88.33,4252.0,0.632,0.637,14.496,6.801377,44.489746,51.7,231.0,q1_q17_dr25_tce,1459.789,0.8751,170.284,156.06,151.688,144.684,143.534,139.475,138.129,137.665,138.45,138.581,138.727,139.808,140.398,141.107
2719873,K06096.01,FALSE POSITIVE,FALSE POSITIVE,17.279290765,27.66,0.1141,22.63,164308.0,5.07591,89.16,5251.0,0.658,0.663,15.16,1041.812,4466.4634,2841.5,78.0,q1_q17_dr25_tce,1459.789,0.8641,407.163,371.453,357.869,337.09,323.946,302.664,292.716,278.294,261.77,247.324,238.145,229.969,226.884,219.317
2832589,K01942.02,CANDIDATE,CANDIDATE,2.433703498,1.66,0.0337,362.64,258.3,0.975,82.21,5251.0,0.778,0.869,15.409,3.6801171,7.2664514,10.2,534.0,q1_q17_dr25_tce,1459.789,0.8753,482.161,440.147,423.754,400.387,386.871,359.255,345.913,328.478,309.524,295.49,288.575,281.588,280.088,274.435
2832589,K01942.01,CONFIRMED,CANDIDATE,10.84969477,2.67,0.0914,49.3,1122.1,3.474,88.49,5251.0,0.778,0.869,15.409,5.8538103,34.495014,43.5,124.0,q1_q17_dr25_tce,1459.789,0.8753,482.161,440.147,423.754,400.387,386.871,359.255,345.913,328.478,309.524,295.49,288.575,281.588,280.088,274.435
2856960,K06295.01,FALSE POSITIVE,FALSE POSITIVE,204.280255,8.99,0.6133,0.73,10579.0,37.2,88.26,4907.0,0.727,0.737,15.615,110.53512,211.52629,35.1,7.0,q1_q17_dr25_tce,1459.789,0.8754,499.551,442.075,413.111,380.677,357.535,318.293,302.647,277.531,253.374,236.169,224.112,214.851,212.891,200.515
9118340,K07927.01,FALSE POSITIVE,FALSE POSITIVE,1.035329922,105.66,0.0253,42120.85,992.8,3.8022,26.38,7030.0,3.512,2.011,13.632,3.4070537,14.251412,178.0,1290.0,q1_q17_dr25_tce,1459.789,0.8756,143.12,127.456,120.99,112.279,106.525,96.228,92.062,85.176,78.03,72.301,67.593,63.748,62.647,57.195
2861298,K04958.01,CANDIDATE,CANDIDATE,581.729006,2.74,1.368,2.12,186.7,6.647,89.95,5765.0,2.005,1.007,12.362,,,8.6,,q1_q16_tce,1459.789,0.8752,71.212,63.009,59.272,54.701,52.071,47.466,45.66,42.778,39.526,36.914,35.186,33.814,33.477,31.851
2973386,K03034.01,CANDIDATE,CANDIDATE,31.0209175,1.66,0.1522,1.7,859.5,2.012,89.2,3720.0,0.48,0.488,15.572,4.6351023,11.925482,15.1,42.0,q1_q17_dr25_tce,1459.789,0.8752,388.126,343.388,321.189,296.438,280.437,254.426,243.154,226.976,209.956,196.997,187.007,179.046,176.813,166.35
2973509,K06300.01,FALSE POSITIVE,FALSE POSITIVE,6.62761199,82.03,0.0714,496.41,227141.0,6.15281,86.19,6316.0,1.333,1.102,13.558,2287.9167,15525.91,4355.5,203.0,q1_q17_dr25_tce,1459.789,0.87,146.521,137.798,137.344,135.027,135.046,133.51,132.403,133.13,136.581,141.266,147.187,154.091,156.738,174.927
2449431,K02009.01,CANDIDATE,CANDIDATE,86.7490807,2.23,0.3706,5.94,547.1,9.179,90.0,5579.0,0.97,0.901,13.82,9.69979,29.13543,35.7,14.0,q1_q17_dr25_tce,1459.789,0.8752,137.154,120.116,112.062,102.87,96.813,87.052,83.142,76.959,70.491,65.308,61.697,58.719,57.881,53.559
2571238,K00084.01,CONFIRMED,CANDIDATE,9.286964466,2.1,0.0835,79.68,691.7,3.3649,89.99,5546.0,0.81,0.907,11.898,25.726345,223.70905,251.9,144.0,q1_q17_dr25_tce,1459.789,0.875,47.469,42.519,40.425,37.727,36.087,33.333,32.139,30.509,28.8,27.489,26.64,25.851,25.689,24.861
2577353,K07635.01,CANDIDATE,CANDIDATE,60.458443,1.59,0.3025,16.14,175.2,8.43,89.48,5865.0,1.181,1.008,14.544,3.7288444,8.224685,9.7,24.0,q1_q17_dr25_tce,1459.789,0.8752,214.408,187.991,175.24,161.066,151.561,135.648,129.084,118.86,107.984,99.464,93.759,88.464,86.849,78.463
2695110,K00400.01,FALSE POSITIVE,FALSE POSITIVE,44.18938922,14.0,0.2395,19.73,4293.5,6.8151,87.47,6061.0,0.968,0.939,14.882,50.801346,141.99004,102.0,32.0,q1_q17_dr25_tce,1459.789,0.8753,258.689,227.626,212.441,195.313,184.404,165.616,157.769,146.61,134.69,125.901,119.21,113.119,111.443,102.913
3832474,K00806.03,CONFIRMED,CANDIDATE,29.1598615,1.91,0.1847,17.85,488.0,4.803,89.38,5485.0,0.867,0.986,15.403,,,11.6,,,1459.789,0.8752,378.551,342.104,328.206,309.0,297.045,275.571,267.237,255.229,241.873,235.893,234.107,234.225,234.408,239.802
3832474,K00806.01,CONFIRMED,CANDIDATE,143.2063047,8.9,0.5336,2.14,10565.7,8.9302,89.83,5485.0,0.867,0.986,15.403,45.13809,115.57215,138.8,9.0,q1_q17_dr25_tce,1459.789,0.8752,378.551,342.104,328.206,309.0,297.045,275.571,267.237,255.229,241.873,235.893,234.107,234.225,234.408,239.802
3734418,K02261.01,CONFIRMED,CANDIDATE,3.97599629,1.11,0.0457,181.47,206.0,2.2029,88.57,5143.0,0.778,0.803,14.11,3.5695462,20.612434,27.3,335.0,q1_q17_dr25_tce,1459.789,0.8751,158.415,143.582,138.182,131.126,127.561,121.458,118.803,116.248,114.132,113.418,114.738,116.704,117.662,124.244
3644174,K06347.01,FALSE POSITIVE,FALSE POSITIVE,1.806631432,1.05,0.0257,297.98,217.5,1.102,87.15,4606.0,0.699,0.696,15.278,2.9584756,9.119333,10.4,349.0,q1_q17_dr25_tce,1459.789,0.4114,356.267,314.997,294.888,272.3,258.438,235.3,224.468,208.915,193.909,181.047,172.709,166.909,164.341,151.442
9209624,K02443.01,CONFIRMED,CANDIDATE,6.79164656,1.01,0.0658,230.81,102.6,3.343,89.55,5772.0,1.003,0.824,13.987,3.284534,15.718208,18.5,200.0,q1_q17_dr25_tce,1459.789,0.8751,112.672,98.845,92.307,84.536,79.786,71.863,68.817,63.729,58.249,54.173,51.082,48.637,47.989,44.985
9209624,K02443.02,CONFIRMED,CANDIDATE,11.8376933,1.0,0.0953,110.03,92.9,3.381,88.58,5772.0,1.003,0.824,13.987,3.2240832,11.67936,12.7,110.0,q1_q17_dr25_tce,1459.789,0.8751,112.672,98.845,92.307,84.536,79.786,71.863,68.817,63.729,58.249,54.173,51.082,48.637,47.989,44.985
